date,self-driving car
2016-01-03,13.0
2016-01-04,13.571428571428571
2016-01-05,14.142857142857142
2016-01-06,14.714285714285714
2016-01-07,15.285714285714285
2016-01-08,15.857142857142858
2016-01-09,16.428571428571427
2016-01-10,17.0
2016-01-11,16.0
2016-01-12,15.0
2016-01-13,14.0
2016-01-14,13.0
2016-01-15,12.0
2016-01-16,11.0
2016-01-17,10.0
2016-01-18,9.571428571428571
2016-01-19,9.142857142857142
2016-01-20,8.714285714285715
2016-01-21,8.285714285714286
2016-01-22,7.857142857142858
2016-01-23,7.428571428571429
2016-01-24,7.0
2016-01-25,8.0
2016-01-26,9.0
2016-01-27,10.0
2016-01-28,11.0
2016-01-29,12.0
2016-01-30,13.0
2016-01-31,14.0
2016-02-01,13.428571428571429
2016-02-02,12.857142857142858
2016-02-03,12.285714285714286
2016-02-04,11.714285714285715
2016-02-05,11.142857142857142
2016-02-06,10.571428571428571
2016-02-07,10.0
2016-02-08,9.571428571428571
2016-02-09,9.142857142857142
2016-02-10,8.714285714285715
2016-02-11,8.285714285714286
2016-02-12,7.857142857142858
2016-02-13,7.428571428571429
2016-02-14,7.0
2016-02-15,8.142857142857142
2016-02-16,9.285714285714285
2016-02-17,10.428571428571429
2016-02-18,11.571428571428571
2016-02-19,12.714285714285714
2016-02-20,13.857142857142858
2016-02-21,15.0
2016-02-22,18.428571428571427
2016-02-23,21.857142857142858
2016-02-24,25.285714285714285
2016-02-25,28.714285714285715
2016-02-26,32.14285714285714
2016-02-27,35.57142857142857
2016-02-28,39.0
2016-02-29,36.42857142857143
2016-03-01,33.857142857142854
2016-03-02,31.285714285714285
2016-03-03,28.714285714285715
2016-03-04,26.142857142857142
2016-03-05,23.57142857142857
2016-03-06,21.0
2016-03-07,20.571428571428573
2016-03-08,20.142857142857142
2016-03-09,19.714285714285715
2016-03-10,19.285714285714285
2016-03-11,18.857142857142858
2016-03-12,18.42857142857143
2016-03-13,18.0
2016-03-14,17.285714285714285
2016-03-15,16.571428571428573
2016-03-16,15.857142857142858
2016-03-17,15.142857142857142
2016-03-18,14.428571428571429
2016-03-19,13.714285714285715
2016-03-20,13.0
2016-03-21,12.571428571428571
2016-03-22,12.142857142857142
2016-03-23,11.714285714285715
2016-03-24,11.285714285714286
2016-03-25,10.857142857142858
2016-03-26,10.428571428571429
2016-03-27,10.0
2016-03-28,11.142857142857142
2016-03-29,12.285714285714285
2016-03-30,13.428571428571429
2016-03-31,14.571428571428571
2016-04-01,15.714285714285714
2016-04-02,16.857142857142858
2016-04-03,18.0
2016-04-04,18.142857142857142
2016-04-05,18.285714285714285
2016-04-06,18.428571428571427
2016-04-07,18.571428571428573
2016-04-08,18.714285714285715
2016-04-09,18.857142857142858
2016-04-10,19.0
2016-04-11,18.0
2016-04-12,17.0
2016-04-13,16.0
2016-04-14,15.0
2016-04-15,14.0
2016-04-16,13.0
2016-04-17,12.0
2016-04-18,13.0
2016-04-19,14.0
2016-04-20,15.0
2016-04-21,16.0
2016-04-22,17.0
2016-04-23,18.0
2016-04-24,19.0
2016-04-25,18.857142857142858
2016-04-26,18.714285714285715
2016-04-27,18.571428571428573
2016-04-28,18.428571428571427
2016-04-29,18.285714285714285
2016-04-30,18.142857142857142
2016-05-01,18.0
2016-05-02,17.285714285714285
2016-05-03,16.571428571428573
2016-05-04,15.857142857142858
2016-05-05,15.142857142857142
2016-05-06,14.428571428571429
2016-05-07,13.714285714285715
2016-05-08,13.0
2016-05-09,14.0
2016-05-10,15.0
2016-05-11,16.0
2016-05-12,17.0
2016-05-13,18.0
2016-05-14,19.0
2016-05-15,20.0
2016-05-16,19.714285714285715
2016-05-17,19.428571428571427
2016-05-18,19.142857142857142
2016-05-19,18.857142857142858
2016-05-20,18.571428571428573
2016-05-21,18.285714285714285
2016-05-22,18.0
2016-05-23,17.428571428571427
2016-05-24,16.857142857142858
2016-05-25,16.285714285714285
2016-05-26,15.714285714285715
2016-05-27,15.142857142857142
2016-05-28,14.571428571428571
2016-05-29,14.0
2016-05-30,14.0
2016-05-31,14.0
2016-06-01,14.0
2016-06-02,14.0
2016-06-03,14.0
2016-06-04,14.0
2016-06-05,14.0
2016-06-06,13.857142857142858
2016-06-07,13.714285714285714
2016-06-08,13.571428571428571
2016-06-09,13.428571428571429
2016-06-10,13.285714285714286
2016-06-11,13.142857142857142
2016-06-12,13.0
2016-06-13,12.714285714285714
2016-06-14,12.428571428571429
2016-06-15,12.142857142857142
2016-06-16,11.857142857142858
2016-06-17,11.571428571428571
2016-06-18,11.285714285714286
2016-06-19,11.0
2016-06-20,12.857142857142858
2016-06-21,14.714285714285715
2016-06-22,16.57142857142857
2016-06-23,18.42857142857143
2016-06-24,20.285714285714285
2016-06-25,22.142857142857142
2016-06-26,24.0
2016-06-27,23.0
2016-06-28,22.0
2016-06-29,21.0
2016-06-30,20.0
2016-07-01,19.0
2016-07-02,18.0
2016-07-03,17.0
2016-07-04,15.428571428571429
2016-07-05,13.857142857142858
2016-07-06,12.285714285714285
2016-07-07,10.714285714285715
2016-07-08,9.142857142857142
2016-07-09,7.571428571428571
2016-07-10,6.0
2016-07-11,6.571428571428571
2016-07-12,7.142857142857142
2016-07-13,7.714285714285714
2016-07-14,8.285714285714285
2016-07-15,8.857142857142858
2016-07-16,9.428571428571429
2016-07-17,10.0
2016-07-18,10.0
2016-07-19,10.0
2016-07-20,10.0
2016-07-21,10.0
2016-07-22,10.0
2016-07-23,10.0
2016-07-24,10.0
2016-07-25,9.714285714285714
2016-07-26,9.428571428571429
2016-07-27,9.142857142857142
2016-07-28,8.857142857142858
2016-07-29,8.571428571428571
2016-07-30,8.285714285714286
2016-07-31,8.0
2016-08-01,8.857142857142858
2016-08-02,9.714285714285714
2016-08-03,10.571428571428571
2016-08-04,11.428571428571429
2016-08-05,12.285714285714285
2016-08-06,13.142857142857142
2016-08-07,14.0
2016-08-08,14.428571428571429
2016-08-09,14.857142857142858
2016-08-10,15.285714285714285
2016-08-11,15.714285714285714
2016-08-12,16.142857142857142
2016-08-13,16.57142857142857
2016-08-14,17.0
2016-08-15,16.857142857142858
2016-08-16,16.714285714285715
2016-08-17,16.571428571428573
2016-08-18,16.428571428571427
2016-08-19,16.285714285714285
2016-08-20,16.142857142857142
2016-08-21,16.0
2016-08-22,15.142857142857142
2016-08-23,14.285714285714286
2016-08-24,13.428571428571429
2016-08-25,12.571428571428571
2016-08-26,11.714285714285715
2016-08-27,10.857142857142858
2016-08-28,10.0
2016-08-29,10.285714285714286
2016-08-30,10.571428571428571
2016-08-31,10.857142857142858
2016-09-01,11.142857142857142
2016-09-02,11.428571428571429
2016-09-03,11.714285714285714
2016-09-04,12.0
2016-09-05,13.428571428571429
2016-09-06,14.857142857142858
2016-09-07,16.285714285714285
2016-09-08,17.714285714285715
2016-09-09,19.142857142857142
2016-09-10,20.57142857142857
2016-09-11,22.0
2016-09-12,22.142857142857142
2016-09-13,22.285714285714285
2016-09-14,22.428571428571427
2016-09-15,22.571428571428573
2016-09-16,22.714285714285715
2016-09-17,22.857142857142858
2016-09-18,23.0
2016-09-19,21.714285714285715
2016-09-20,20.428571428571427
2016-09-21,19.142857142857142
2016-09-22,17.857142857142858
2016-09-23,16.57142857142857
2016-09-24,15.285714285714285
2016-09-25,14.0
2016-09-26,14.571428571428571
2016-09-27,15.142857142857142
2016-09-28,15.714285714285714
2016-09-29,16.285714285714285
2016-09-30,16.857142857142858
2016-10-01,17.428571428571427
2016-10-02,18.0
2016-10-03,17.714285714285715
2016-10-04,17.428571428571427
2016-10-05,17.142857142857142
2016-10-06,16.857142857142858
2016-10-07,16.571428571428573
2016-10-08,16.285714285714285
2016-10-09,16.0
2016-10-10,16.285714285714285
2016-10-11,16.571428571428573
2016-10-12,16.857142857142858
2016-10-13,17.142857142857142
2016-10-14,17.428571428571427
2016-10-15,17.714285714285715
2016-10-16,18.0
2016-10-17,18.714285714285715
2016-10-18,19.428571428571427
2016-10-19,20.142857142857142
2016-10-20,20.857142857142858
2016-10-21,21.571428571428573
2016-10-22,22.285714285714285
2016-10-23,23.0
2016-10-24,21.857142857142858
2016-10-25,20.714285714285715
2016-10-26,19.571428571428573
2016-10-27,18.42857142857143
2016-10-28,17.285714285714285
2016-10-29,16.142857142857142
2016-10-30,15.0
2016-10-31,15.571428571428571
2016-11-01,16.142857142857142
2016-11-02,16.714285714285715
2016-11-03,17.285714285714285
2016-11-04,17.857142857142858
2016-11-05,18.428571428571427
2016-11-06,19.0
2016-11-07,17.857142857142858
2016-11-08,16.714285714285715
2016-11-09,15.571428571428571
2016-11-10,14.428571428571429
2016-11-11,13.285714285714286
2016-11-12,12.142857142857142
2016-11-13,11.0
2016-11-14,11.0
2016-11-15,11.0
2016-11-16,11.0
2016-11-17,11.0
2016-11-18,11.0
2016-11-19,11.0
2016-11-20,11.0
2016-11-21,11.857142857142858
2016-11-22,12.714285714285714
2016-11-23,13.571428571428571
2016-11-24,14.428571428571429
2016-11-25,15.285714285714285
2016-11-26,16.142857142857142
2016-11-27,17.0
2016-11-28,17.571428571428573
2016-11-29,18.142857142857142
2016-11-30,18.714285714285715
2016-12-01,19.285714285714285
2016-12-02,19.857142857142858
2016-12-03,20.428571428571427
2016-12-04,21.0
2016-12-05,22.428571428571427
2016-12-06,23.857142857142858
2016-12-07,25.285714285714285
2016-12-08,26.714285714285715
2016-12-09,28.142857142857142
2016-12-10,29.57142857142857
2016-12-11,31.0
2016-12-12,28.428571428571427
2016-12-13,25.857142857142858
2016-12-14,23.285714285714285
2016-12-15,20.714285714285715
2016-12-16,18.142857142857142
2016-12-17,15.57142857142857
2016-12-18,13.0
2016-12-19,12.571428571428571
2016-12-20,12.142857142857142
2016-12-21,11.714285714285715
2016-12-22,11.285714285714286
2016-12-23,10.857142857142858
2016-12-24,10.428571428571429
2016-12-25,10.0
2016-12-26,10.857142857142858
2016-12-27,11.714285714285714
2016-12-28,12.571428571428571
2016-12-29,13.428571428571429
2016-12-30,14.285714285714285
2016-12-31,15.142857142857142
2017-01-01,16.0
2017-01-02,17.714285714285715
2017-01-03,19.428571428571427
2017-01-04,21.142857142857142
2017-01-05,22.857142857142858
2017-01-06,24.57142857142857
2017-01-07,26.285714285714285
2017-01-08,28.0
2017-01-09,27.571428571428573
2017-01-10,27.142857142857142
2017-01-11,26.714285714285715
2017-01-12,26.285714285714285
2017-01-13,25.857142857142858
2017-01-14,25.42857142857143
2017-01-15,25.0
2017-01-16,23.714285714285715
2017-01-17,22.428571428571427
2017-01-18,21.142857142857142
2017-01-19,19.857142857142858
2017-01-20,18.57142857142857
2017-01-21,17.285714285714285
2017-01-22,16.0
2017-01-23,15.714285714285714
2017-01-24,15.428571428571429
2017-01-25,15.142857142857142
2017-01-26,14.857142857142858
2017-01-27,14.571428571428571
2017-01-28,14.285714285714286
2017-01-29,14.0
2017-01-30,14.428571428571429
2017-01-31,14.857142857142858
2017-02-01,15.285714285714285
2017-02-02,15.714285714285714
2017-02-03,16.142857142857142
2017-02-04,16.57142857142857
2017-02-05,17.0
2017-02-06,16.714285714285715
2017-02-07,16.428571428571427
2017-02-08,16.142857142857142
2017-02-09,15.857142857142858
2017-02-10,15.571428571428571
2017-02-11,15.285714285714286
2017-02-12,15.0
2017-02-13,15.857142857142858
2017-02-14,16.714285714285715
2017-02-15,17.57142857142857
2017-02-16,18.428571428571427
2017-02-17,19.285714285714285
2017-02-18,20.142857142857142
2017-02-19,21.0
2017-02-20,20.857142857142858
2017-02-21,20.714285714285715
2017-02-22,20.571428571428573
2017-02-23,20.428571428571427
2017-02-24,20.285714285714285
2017-02-25,20.142857142857142
2017-02-26,20.0
2017-02-27,20.285714285714285
2017-02-28,20.571428571428573
2017-03-01,20.857142857142858
2017-03-02,21.142857142857142
2017-03-03,21.428571428571427
2017-03-04,21.714285714285715
2017-03-05,22.0
2017-03-06,21.714285714285715
2017-03-07,21.428571428571427
2017-03-08,21.142857142857142
2017-03-09,20.857142857142858
2017-03-10,20.571428571428573
2017-03-11,20.285714285714285
2017-03-12,20.0
2017-03-13,19.428571428571427
2017-03-14,18.857142857142858
2017-03-15,18.285714285714285
2017-03-16,17.714285714285715
2017-03-17,17.142857142857142
2017-03-18,16.571428571428573
2017-03-19,16.0
2017-03-20,18.142857142857142
2017-03-21,20.285714285714285
2017-03-22,22.42857142857143
2017-03-23,24.57142857142857
2017-03-24,26.714285714285715
2017-03-25,28.857142857142858
2017-03-26,31.0
2017-03-27,29.714285714285715
2017-03-28,28.428571428571427
2017-03-29,27.142857142857142
2017-03-30,25.857142857142858
2017-03-31,24.57142857142857
2017-04-01,23.285714285714285
2017-04-02,22.0
2017-04-03,21.142857142857142
2017-04-04,20.285714285714285
2017-04-05,19.42857142857143
2017-04-06,18.571428571428573
2017-04-07,17.714285714285715
2017-04-08,16.857142857142858
2017-04-09,16.0
2017-04-10,16.285714285714285
2017-04-11,16.571428571428573
2017-04-12,16.857142857142858
2017-04-13,17.142857142857142
2017-04-14,17.428571428571427
2017-04-15,17.714285714285715
2017-04-16,18.0
2017-04-17,18.428571428571427
2017-04-18,18.857142857142858
2017-04-19,19.285714285714285
2017-04-20,19.714285714285715
2017-04-21,20.142857142857142
2017-04-22,20.57142857142857
2017-04-23,21.0
2017-04-24,20.714285714285715
2017-04-25,20.428571428571427
2017-04-26,20.142857142857142
2017-04-27,19.857142857142858
2017-04-28,19.571428571428573
2017-04-29,19.285714285714285
2017-04-30,19.0
2017-05-01,18.428571428571427
2017-05-02,17.857142857142858
2017-05-03,17.285714285714285
2017-05-04,16.714285714285715
2017-05-05,16.142857142857142
2017-05-06,15.571428571428571
2017-05-07,15.0
2017-05-08,15.285714285714286
2017-05-09,15.571428571428571
2017-05-10,15.857142857142858
2017-05-11,16.142857142857142
2017-05-12,16.428571428571427
2017-05-13,16.714285714285715
2017-05-14,17.0
2017-05-15,16.714285714285715
2017-05-16,16.428571428571427
2017-05-17,16.142857142857142
2017-05-18,15.857142857142858
2017-05-19,15.571428571428571
2017-05-20,15.285714285714286
2017-05-21,15.0
2017-05-22,14.857142857142858
2017-05-23,14.714285714285714
2017-05-24,14.571428571428571
2017-05-25,14.428571428571429
2017-05-26,14.285714285714286
2017-05-27,14.142857142857142
2017-05-28,14.0
2017-05-29,13.142857142857142
2017-05-30,12.285714285714286
2017-05-31,11.428571428571429
2017-06-01,10.571428571428571
2017-06-02,9.714285714285715
2017-06-03,8.857142857142858
2017-06-04,8.0
2017-06-05,9.571428571428571
2017-06-06,11.142857142857142
2017-06-07,12.714285714285715
2017-06-08,14.285714285714285
2017-06-09,15.857142857142858
2017-06-10,17.42857142857143
2017-06-11,19.0
2017-06-12,18.142857142857142
2017-06-13,17.285714285714285
2017-06-14,16.42857142857143
2017-06-15,15.571428571428571
2017-06-16,14.714285714285715
2017-06-17,13.857142857142858
2017-06-18,13.0
2017-06-19,13.0
2017-06-20,13.0
2017-06-21,13.0
2017-06-22,13.0
2017-06-23,13.0
2017-06-24,13.0
2017-06-25,13.0
2017-06-26,13.285714285714286
2017-06-27,13.571428571428571
2017-06-28,13.857142857142858
2017-06-29,14.142857142857142
2017-06-30,14.428571428571429
2017-07-01,14.714285714285714
2017-07-02,15.0
2017-07-03,14.714285714285714
2017-07-04,14.428571428571429
2017-07-05,14.142857142857142
2017-07-06,13.857142857142858
2017-07-07,13.571428571428571
2017-07-08,13.285714285714286
2017-07-09,13.0
2017-07-10,12.857142857142858
2017-07-11,12.714285714285714
2017-07-12,12.571428571428571
2017-07-13,12.428571428571429
2017-07-14,12.285714285714286
2017-07-15,12.142857142857142
2017-07-16,12.0
2017-07-17,12.857142857142858
2017-07-18,13.714285714285714
2017-07-19,14.571428571428571
2017-07-20,15.428571428571429
2017-07-21,16.285714285714285
2017-07-22,17.142857142857142
2017-07-23,18.0
2017-07-24,16.571428571428573
2017-07-25,15.142857142857142
2017-07-26,13.714285714285715
2017-07-27,12.285714285714285
2017-07-28,10.857142857142858
2017-07-29,9.428571428571429
2017-07-30,8.0
2017-07-31,9.142857142857142
2017-08-01,10.285714285714285
2017-08-02,11.428571428571429
2017-08-03,12.571428571428571
2017-08-04,13.714285714285714
2017-08-05,14.857142857142858
2017-08-06,16.0
2017-08-07,14.571428571428571
2017-08-08,13.142857142857142
2017-08-09,11.714285714285715
2017-08-10,10.285714285714285
2017-08-11,8.857142857142858
2017-08-12,7.428571428571429
2017-08-13,6.0
2017-08-14,7.714285714285714
2017-08-15,9.428571428571429
2017-08-16,11.142857142857142
2017-08-17,12.857142857142858
2017-08-18,14.571428571428571
2017-08-19,16.285714285714285
2017-08-20,18.0
2017-08-21,17.285714285714285
2017-08-22,16.571428571428573
2017-08-23,15.857142857142858
2017-08-24,15.142857142857142
2017-08-25,14.428571428571429
2017-08-26,13.714285714285715
2017-08-27,13.0
2017-08-28,13.428571428571429
2017-08-29,13.857142857142858
2017-08-30,14.285714285714285
2017-08-31,14.714285714285714
2017-09-01,15.142857142857142
2017-09-02,15.571428571428571
2017-09-03,16.0
2017-09-04,15.571428571428571
2017-09-05,15.142857142857142
2017-09-06,14.714285714285715
2017-09-07,14.285714285714286
2017-09-08,13.857142857142858
2017-09-09,13.428571428571429
2017-09-10,13.0
2017-09-11,13.0
2017-09-12,13.0
2017-09-13,13.0
2017-09-14,13.0
2017-09-15,13.0
2017-09-16,13.0
2017-09-17,13.0
2017-09-18,13.142857142857142
2017-09-19,13.285714285714286
2017-09-20,13.428571428571429
2017-09-21,13.571428571428571
2017-09-22,13.714285714285714
2017-09-23,13.857142857142858
2017-09-24,14.0
2017-09-25,14.0
2017-09-26,14.0
2017-09-27,14.0
2017-09-28,14.0
2017-09-29,14.0
2017-09-30,14.0
2017-10-01,14.0
2017-10-02,13.714285714285714
2017-10-03,13.428571428571429
2017-10-04,13.142857142857142
2017-10-05,12.857142857142858
2017-10-06,12.571428571428571
2017-10-07,12.285714285714286
2017-10-08,12.0
2017-10-09,13.0
2017-10-10,14.0
2017-10-11,15.0
2017-10-12,16.0
2017-10-13,17.0
2017-10-14,18.0
2017-10-15,19.0
2017-10-16,18.571428571428573
2017-10-17,18.142857142857142
2017-10-18,17.714285714285715
2017-10-19,17.285714285714285
2017-10-20,16.857142857142858
2017-10-21,16.42857142857143
2017-10-22,16.0
2017-10-23,15.285714285714286
2017-10-24,14.571428571428571
2017-10-25,13.857142857142858
2017-10-26,13.142857142857142
2017-10-27,12.428571428571429
2017-10-28,11.714285714285715
2017-10-29,11.0
2017-10-30,11.428571428571429
2017-10-31,11.857142857142858
2017-11-01,12.285714285714285
2017-11-02,12.714285714285714
2017-11-03,13.142857142857142
2017-11-04,13.571428571428571
2017-11-05,14.0
2017-11-06,13.571428571428571
2017-11-07,13.142857142857142
2017-11-08,12.714285714285715
2017-11-09,12.285714285714286
2017-11-10,11.857142857142858
2017-11-11,11.428571428571429
2017-11-12,11.0
2017-11-13,11.428571428571429
2017-11-14,11.857142857142858
2017-11-15,12.285714285714285
2017-11-16,12.714285714285714
2017-11-17,13.142857142857142
2017-11-18,13.571428571428571
2017-11-19,14.0
2017-11-20,14.571428571428571
2017-11-21,15.142857142857142
2017-11-22,15.714285714285714
2017-11-23,16.285714285714285
2017-11-24,16.857142857142858
2017-11-25,17.428571428571427
2017-11-26,18.0
2017-11-27,17.857142857142858
2017-11-28,17.714285714285715
2017-11-29,17.571428571428573
2017-11-30,17.428571428571427
2017-12-01,17.285714285714285
2017-12-02,17.142857142857142
2017-12-03,17.0
2017-12-04,16.285714285714285
2017-12-05,15.571428571428571
2017-12-06,14.857142857142858
2017-12-07,14.142857142857142
2017-12-08,13.428571428571429
2017-12-09,12.714285714285715
2017-12-10,12.0
2017-12-11,11.428571428571429
2017-12-12,10.857142857142858
2017-12-13,10.285714285714286
2017-12-14,9.714285714285715
2017-12-15,9.142857142857142
2017-12-16,8.571428571428571
2017-12-17,8.0
2017-12-18,8.285714285714286
2017-12-19,8.571428571428571
2017-12-20,8.857142857142858
2017-12-21,9.142857142857142
2017-12-22,9.428571428571429
2017-12-23,9.714285714285714
2017-12-24,10.0
2017-12-25,9.428571428571429
2017-12-26,8.857142857142858
2017-12-27,8.285714285714286
2017-12-28,7.714285714285714
2017-12-29,7.142857142857143
2017-12-30,6.571428571428571
2017-12-31,6.0
2018-01-01,7.714285714285714
2018-01-02,9.428571428571429
2018-01-03,11.142857142857142
2018-01-04,12.857142857142858
2018-01-05,14.571428571428571
2018-01-06,16.285714285714285
2018-01-07,18.0
2018-01-08,17.285714285714285
2018-01-09,16.571428571428573
2018-01-10,15.857142857142858
2018-01-11,15.142857142857142
2018-01-12,14.428571428571429
2018-01-13,13.714285714285715
2018-01-14,13.0
2018-01-15,13.428571428571429
2018-01-16,13.857142857142858
2018-01-17,14.285714285714285
2018-01-18,14.714285714285714
2018-01-19,15.142857142857142
2018-01-20,15.571428571428571
2018-01-21,16.0
2018-01-22,15.428571428571429
2018-01-23,14.857142857142858
2018-01-24,14.285714285714286
2018-01-25,13.714285714285715
2018-01-26,13.142857142857142
2018-01-27,12.571428571428571
2018-01-28,12.0
2018-01-29,11.857142857142858
2018-01-30,11.714285714285714
2018-01-31,11.571428571428571
2018-02-01,11.428571428571429
2018-02-02,11.285714285714286
2018-02-03,11.142857142857142
2018-02-04,11.0
2018-02-05,10.714285714285714
2018-02-06,10.428571428571429
2018-02-07,10.142857142857142
2018-02-08,9.857142857142858
2018-02-09,9.571428571428571
2018-02-10,9.285714285714286
2018-02-11,9.0
2018-02-12,9.857142857142858
2018-02-13,10.714285714285714
2018-02-14,11.571428571428571
2018-02-15,12.428571428571429
2018-02-16,13.285714285714285
2018-02-17,14.142857142857142
2018-02-18,15.0
2018-02-19,14.857142857142858
2018-02-20,14.714285714285714
2018-02-21,14.571428571428571
2018-02-22,14.428571428571429
2018-02-23,14.285714285714286
2018-02-24,14.142857142857142
2018-02-25,14.0
2018-02-26,13.571428571428571
2018-02-27,13.142857142857142
2018-02-28,12.714285714285715
2018-03-01,12.285714285714286
2018-03-02,11.857142857142858
2018-03-03,11.428571428571429
2018-03-04,11.0
2018-03-05,11.571428571428571
2018-03-06,12.142857142857142
2018-03-07,12.714285714285714
2018-03-08,13.285714285714285
2018-03-09,13.857142857142858
2018-03-10,14.428571428571429
2018-03-11,15.0
2018-03-12,27.142857142857142
2018-03-13,39.285714285714285
2018-03-14,51.42857142857143
2018-03-15,63.57142857142857
2018-03-16,75.71428571428571
2018-03-17,87.85714285714286
2018-03-18,100.0
2018-03-19,91.0
2018-03-20,82.0
2018-03-21,73.0
2018-03-22,64.0
2018-03-23,55.0
2018-03-24,46.0
2018-03-25,37.0
2018-03-26,34.57142857142857
2018-03-27,32.142857142857146
2018-03-28,29.714285714285715
2018-03-29,27.285714285714285
2018-03-30,24.857142857142858
2018-03-31,22.42857142857143
2018-04-01,20.0
2018-04-02,19.428571428571427
2018-04-03,18.857142857142858
2018-04-04,18.285714285714285
2018-04-05,17.714285714285715
2018-04-06,17.142857142857142
2018-04-07,16.571428571428573
2018-04-08,16.0
2018-04-09,16.142857142857142
2018-04-10,16.285714285714285
2018-04-11,16.428571428571427
2018-04-12,16.571428571428573
2018-04-13,16.714285714285715
2018-04-14,16.857142857142858
2018-04-15,17.0
2018-04-16,16.857142857142858
2018-04-17,16.714285714285715
2018-04-18,16.571428571428573
2018-04-19,16.428571428571427
2018-04-20,16.285714285714285
2018-04-21,16.142857142857142
2018-04-22,16.0
2018-04-23,15.714285714285714
2018-04-24,15.428571428571429
2018-04-25,15.142857142857142
2018-04-26,14.857142857142858
2018-04-27,14.571428571428571
2018-04-28,14.285714285714286
2018-04-29,14.0
2018-04-30,14.428571428571429
2018-05-01,14.857142857142858
2018-05-02,15.285714285714285
2018-05-03,15.714285714285714
2018-05-04,16.142857142857142
2018-05-05,16.57142857142857
2018-05-06,17.0
2018-05-07,17.0
2018-05-08,17.0
2018-05-09,17.0
2018-05-10,17.0
2018-05-11,17.0
2018-05-12,17.0
2018-05-13,17.0
2018-05-14,16.571428571428573
2018-05-15,16.142857142857142
2018-05-16,15.714285714285715
2018-05-17,15.285714285714286
2018-05-18,14.857142857142858
2018-05-19,14.428571428571429
2018-05-20,14.0
2018-05-21,14.428571428571429
2018-05-22,14.857142857142858
2018-05-23,15.285714285714285
2018-05-24,15.714285714285714
2018-05-25,16.142857142857142
2018-05-26,16.57142857142857
2018-05-27,17.0
2018-05-28,16.571428571428573
2018-05-29,16.142857142857142
2018-05-30,15.714285714285715
2018-05-31,15.285714285714286
2018-06-01,14.857142857142858
2018-06-02,14.428571428571429
2018-06-03,14.0
